id,tier,english,spanish,tier_preserved,semantic_issue,humor_issue,decision
Hint::RHT_DEKU_TREE_MQ_GS_PAST_BOULDER_VINES::19,CLEAR,They say that a #wall of rock protects a spider# within the Deku Tree holding #[1]#.,Dicen que una #pared de roca protege a una araña# dentro del Árbol Deku que posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_GS_BASEMENT_BACK_ROOM::20,CLEAR,They say that a #spider deep within the Deku Tree# hides #[1]#.,Dicen que una #araña en las profundidades del Árbol Deku# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_MQ_DEKU_SCRUB::21,CLEAR,They say that a #scrub in the Deku Tree# sells #[1]#.,Dicen que un #scrub en el Árbol Deku# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_HEART::22,CLEAR,They say that a #heart in the Deku Tree# hides #[1]#.,Dicen que un #corazón en el Árbol Deku# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DEKU_TREE_GRASS::23,CLEAR,They say that some #grass in the Deku Tree# hides #[1]#.,Dicen que algo de #hierba en el Árbol Deku# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_CRATE_DEKU_TREE::24,CLEAR,They say that a #crate in the Deku Tree# contains #[1]#.,Dicen que una #caja en el Árbol Deku# contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_BOSS_ROOM_CHEST::25,CLEAR,They say that #above King Dodongo# lies #[1]#.,Dicen que #encima del Rey Dodongo# se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MAP_CHEST::26,CLEAR,They say that a #muddy wall in Dodongo's Cavern# hides #[1]#.,Dicen que una #pared embarrada en la Cueva de Dodongo# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_COMPASS_CHEST::27,CLEAR,They say that a #statue in Dodongo's Cavern# guards #[1]#.,Dicen que una #estatua en la Cueva de Dodongo# custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_BOMB_FLOWER_PLATFORM_CHEST::28,CLEAR,They say that above a #maze of stone# in Dodongo's Cavern lies #[1]#.,Dicen que encima de un #laberinto de piedra# en la Cueva de Dodongo se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_BOMB_BAG_CHEST::29,CLEAR,They say that the #second lizard cavern battle# yields #[1]#.,Dicen que la #segunda batalla contra lagartos# ofrece #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_END_OF_BRIDGE_CHEST::30,CLEAR,They say that a #chest at the end of a bridge# yields #[1]#.,Dicen que un #cofre al final de un puente# ofrece #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_MAP_CHEST::31,CLEAR,They say that a #muddy wall in Dodongo's Cavern# hides #[1]#.,Dicen que una #pared embarrada en la Cueva de Dodongo# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_BOMB_BAG_CHEST::32,CLEAR,They say that an #elevated alcove# in Dodongo's Cavern holds #[1]#.,Dicen que un #alojamiento elevado# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_COMPASS_CHEST::33,CLEAR,They say that #fire-breathing lizards# in Dodongo's Cavern guard #[1]#.,Dicen que los #lagartos que escupen fuego# en la Cueva de Dodongo custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_LARVAE_ROOM_CHEST::34,CLEAR,They say that #baby spiders# in Dodongo's Cavern guard #[1]#.,Dicen que las #arañas bebé# en la Cueva de Dodongo custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_TORCH_PUZZLE_ROOM_CHEST::35,CLEAR,They say that above a #maze of stone# in Dodongo's Cavern lies #[1]#.,Dicen que encima de un #laberinto de piedra# en la Cueva de Dodongo se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_UNDER_GRAVE_CHEST::36,CLEAR,They say that #beneath a headstone# in Dodongo's Cavern lies #[1]#.,Dicen que #debajo de una lápida# en la Cueva de Dodongo se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_KING_DODONGO_HEART::37,CLEAR,They say that #King Dodongo# holds #[1]#.,Dicen que el #Rey Dodongo# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_KING_DODONGO_HEART::38,CLEAR,They say that the #Infernal Dinosaur# holds #[1]#.,Dicen que el #Dinosaurio Infernal# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GS_VINES_ABOVE_STAIRS::39,CLEAR,They say that a #spider entangled in vines# in Dodongo's Cavern guards #[1]#.,Dicen que una #araña enredada en enredaderas# en la Cueva de Dodongo custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GS_SCARECROW::40,CLEAR,They say that a #spider among explosive slugs# hides #[1]#.,Dicen que una #araña entre caracoles explosivos# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GS_ALCOVE_ABOVE_STAIRS::41,CLEAR,They say that a #spider just out of reach# in Dodongo's Cavern holds #[1]#.,Dicen que una #araña justo fuera de alcance# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GS_BACK_ROOM::42,CLEAR,They say that a #spider behind a statue# in Dodongo's Cavern holds #[1]#.,Dicen que una #araña detrás de una estatua# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GS_SIDE_ROOM_NEAR_LOWER_LIZALFOS::43,CLEAR,They say that a #spider among bats# in Dodongo's Cavern holds #[1]#.,Dicen que una #araña entre murciélagos# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_GS_SCRUB_ROOM::44,CLEAR,They say that a #spider high on a wall# in Dodongo's Cavern holds #[1]#.,Dicen que una #araña alta en la pared# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_GS_LIZALFOS_ROOM::45,CLEAR,They say that a #spider on top of a pillar of rock# in Dodongo's Cavern holds #[1]#.,Dicen que una #araña encima de un pilar de roca# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_GS_LARVAE_ROOM::46,CLEAR,They say that a #spider in a crate# in Dodongo's Cavern holds #[1]#.,Dicen que una #araña en una caja# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_GS_BACK_AREA::47,CLEAR,They say that a #spider among graves# in Dodongo's Cavern holds #[1]#.,Dicen que una #araña entre tumbas# en la Cueva de Dodongo posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_DEKU_SCRUB_NEAR_BOMB_BAG_LEFT::48,CLEAR,They say that a pair of #scrubs in Dodongo's Cavern# sells #[1]#.,Dicen que un par de #scrubs en la Cueva de Dodongo# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_DEKU_SCRUB_SIDE_ROOM_NEAR_DODONGOS::49,CLEAR,They say that a #scrub guarded by Lizalfos# sells #[1]#.,Dicen que un #scrub custodiado por Lizalfos# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_DEKU_SCRUB_NEAR_BOMB_BAG_RIGHT::50,CLEAR,They say that a pair of #scrubs in Dodongo's Cavern# sells #[1]#.,Dicen que un par de #scrubs en la Cueva de Dodongo# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_DEKU_SCRUB_LOBBY::51,CLEAR,They say that a #scrub in Dodongo's Cavern# sells #[1]#.,Dicen que un #scrub en la Cueva de Dodongo# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_DEKU_SCRUB_LOBBY_REAR::52,CLEAR,They say that a pair of #scrubs in Dodongo's Cavern# sells #[1]#.,Dicen que un par de #scrubs en la Cueva de Dodongo# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_DEKU_SCRUB_LOBBY_FRONT::53,CLEAR,They say that a pair of #scrubs in Dodongo's Cavern# sells #[1]#.,Dicen que un par de #scrubs en la Cueva de Dodongo# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_DEKU_SCRUB_STAIRCASE::54,CLEAR,They say that a #scrub in Dodongo's Cavern# sells #[1]#.,Dicen que un #scrub en la Cueva de Dodongo# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_MQ_DEKU_SCRUB_SIDE_ROOM_NEAR_LOWER_LIZALFOS::55,CLEAR,They say that a #scrub guarded by Lizalfos# sells #[1]#.,Dicen que un #scrub custodiado por Lizalfos# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_POT_DODONGOS_CAVERN::56,CLEAR,They say that a #pot in Dodongo's Cavern# contains #[1]#.,Dicen que una #olla en la Cueva de Dodongo# contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_HEART::57,CLEAR,They say that a #heart in Dodongo's Cavern# hides #[1]#.,Dicen que un #corazón en la Cueva de Dodongo# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GOSSIP_STONE_FAIRY::58,CLEAR,They say that #playing a tune for an odd stone in Dodongo's Cavern# reveals #[1]#.,Dicen que #tocar una melodía para una piedra extraña en la Cueva de Dodongo# revela #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GOSSIP_STONE_FAIRY_BIG::59,CLEAR,They say that #playing a stormy tune for an odd stone in Dodongo's Cavern# reveals #[1]#.,Dicen que #tocar una melodía tormentosa para una piedra extraña en la Cueva de Dodongo# revela #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_DODONGOS_CAVERN_GRASS::60,CLEAR,They say that some #grass in Dodongo's Cavern# hides #[1]#.,Dicen que algo de #hierba en la Cueva de Dodongo# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_CRATE_DODONGOS_CAVERN::61,CLEAR,They say that a #crate in Dodongo's Cavern# contains #[1]#.,Dicen que una #caja en la Cueva de Dodongo# contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MAP_CHEST::62,CLEAR,They say that a #slimy thing# guards #[1]#.,Dicen que una #cosa resbalosa# custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MAP_CHEST::63,CLEAR,They say that #tentacle trouble# in a deity's belly guards #[1]#.,Dicen que los #problemas con tentáculos# en el vientre de una deidad custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_COMPASS_CHEST::64,CLEAR,They say that #bubbles# guard #[1]#.,Dicen que las #burbujas# custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_COMPASS_CHEST::65,CLEAR,They say that #bubble trouble# in a deity's belly guards #[1]#.,Dicen que los #problemas con burbujas# en el vientre de una deidad custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_FIRST_ROOM_SIDE_CHEST::66,CLEAR,They say that shooting a #mouth cow# reveals #[1]#.,Dicen que disparar a una #boca vacuna# revela #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_MAP_CHEST::67,CLEAR,They say that a #boulder before cows# hides #[1]#.,Dicen que un #roca antes de las vacas# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_MAP_CHEST::68,CLEAR,They say that #pop rocks# hide #[1]#.,Dicen que las #rocas explosivas# esconden #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_MAP_CHEST::69,CLEAR,They say that an #explosive palate# holds #[1]#.,Dicen que un #paladar explosivo# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_SECOND_ROOM_LOWER_CHEST::70,CLEAR,They say that near a #spiked elevator# lies #[1]#.,Dicen que cerca de un #elevador con pinchos# se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_COMPASS_CHEST::71,CLEAR,They say that a #drowning cow# unveils #[1]#.,Dicen que una #vaca que se ahoga# revela #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_SECOND_ROOM_UPPER_CHEST::72,CLEAR,They say that #moving anatomy# creates a path to #[1]#.,Dicen que la #anatomía en movimiento# crea un camino a #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_BASEMENT_NEAR_SWITCHES_CHEST::73,CLEAR,They say that a #pair of digested cows# hold #[1]#.,Dicen que un #par de vacas digeridas# poseen #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_BASEMENT_NEAR_VINES_CHEST::74,CLEAR,They say that a #pair of digested cows# hold #[1]#.,Dicen que un #par de vacas digeridas# poseen #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_NEAR_BOSS_CHEST::75,CLEAR,They say that the #final cows' reward# in a deity's belly is #[1]#.,Dicen que la #recompensa de las vacas finales# en el vientre de una deidad es #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_FALLING_LIKE_LIKE_ROOM_CHEST::76,CLEAR,They say that #cows protected by falling monsters# in a deity's belly guard hide #[1]#.,Dicen que las #vacas protegidas por monstruos que caen# en el vientre de una deidad esconden #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_BOOMERANG_ROOM_SMALL_CHEST::77,CLEAR,They say that a school of #stingers swallowed by Jabu-Jabu# guard #[1]#.,Dicen que una escuela de #stingers tragados por Jabu-Jabu# custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_BOOMERANG_ROOM_SMALL_CHEST::78,CLEAR,They say that a school of #stingers swallowed by a deity# guard #[1]#.,Dicen que una escuela de #stingers tragados por una deidad# custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_BOOMERANG_CHEST::79,CLEAR,They say that a school of #stingers swallowed by Jabu-Jabu# guard #[1]#.,Dicen que una escuela de #stingers tragados por Jabu-Jabu# custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_BOOMERANG_CHEST::80,CLEAR,They say that a school of #stingers swallowed by a deity# guard #[1]#.,Dicen que una escuela de #stingers tragados por una deidad# custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_BARINADE_HEART::81,CLEAR,They say that #Barinade# holds #[1]#.,Dicen que #Barinade# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_BARINADE_HEART::82,CLEAR,They say that the #Bio-Electric Anemone# holds #[1]#.,Dicen que la #Anémona Bioeléctrica# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_GS_LOBBY_BASEMENT_LOWER::83,CLEAR,They say that a #spider resting near a princess# in Jabu-Jabu's Belly holds #[1]#.,Dicen que una #araña descansando cerca de una princesa# en el Vientre de Jabu-Jabu posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_GS_LOBBY_BASEMENT_UPPER::84,CLEAR,They say that a #spider resting near a princess# in Jabu-Jabu's Belly holds #[1]#.,Dicen que una #araña descansando cerca de una princesa# en el Vientre de Jabu-Jabu posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_GS_NEAR_BOSS::85,CLEAR,They say that #a spider surrounded by jellyfish# in Jabu-Jabu's Belly holds #[1]#.,Dicen que una #araña rodeada de medusas# en el Vientre de Jabu-Jabu posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_GS_WATER_SWITCH_ROOM::86,CLEAR,They say that a #spider guarded by a school of stingers# in Jabu-Jabu's Belly holds #[1]#.,Dicen que una #araña custodiada por una escuela de stingers# en el Vientre de Jabu-Jabu posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_GS_TAILPASARAN_ROOM::87,CLEAR,They say that a #spider surrounded by electricity# in Jabu-Jabu's Belly holds #[1]#.,Dicen que una #araña rodeada de electricidad# en el Vientre de Jabu-Jabu posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_GS_BOOMERANG_CHEST_ROOM::88,CLEAR,They say that a #spider guarded by a school of stingers# in Jabu-Jabu's Belly holds #[1]#.,Dicen que una #araña custodiada por una escuela de stingers# en el Vientre de Jabu-Jabu posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_MQ_GS_NEAR_BOSS::89,CLEAR,They say that a #spider in a web within Jabu-Jabu's Belly# holds #[1]#.,Dicen que una #araña en una telaraña dentro del Vientre de Jabu-Jabu# posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_DEKU_SCRUB::90,CLEAR,They say that a #scrub in a deity# sells #[1]#.,Dicen que un #scrub en una deidad# vende #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_POT_JABU_JABUS_BELLY::91,CLEAR,They say that a #pot in Jabu Jabu's Belly# contains #[1]#.,Dicen que una #olla en el Vientre de Jabu-Jabu# contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABU_RUPEE::92,CLEAR,They say that #underwater in Jabu-Jabu's Belly# lies #[1]#.,Dicen que #bajo el agua en el Vientre de Jabu-Jabu# se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABU_HEART::93,CLEAR,They say that near a #central lift in Jabu-Jabu's Belly# lies #[1]#.,Dicen que cerca de un #ascensor central en el Vientre de Jabu-Jabu# se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_JABU_JABUS_BELLY_GRASS::94,CLEAR,They say that some #grass in Jabu Jabu's Belly# hides #[1]#.,Dicen que algo de #hierba en el Vientre de Jabu-Jabu# esconde #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_CRATE_JABU_JABU::95,CLEAR,They say that a #crate in Jabu Jabu's Belly# contains #[1]#.,Dicen que una #caja en el Vientre de Jabu-Jabu# contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_FIRST_ROOM_CHEST::96,CLEAR,They say that a #tree in the Forest Temple# supports #[1]#.,Dicen que un #árbol en el Templo del Bosque# sostiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_FIRST_STALFOS_CHEST::97,CLEAR,They say that #defeating enemies beneath a falling ceiling# in Forest Temple yields #[1]#.,Dicen que #derrotar enemigos bajo un techo que cae# en el Templo del Bosque ofrece #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_WELL_CHEST::98,CLEAR,They say that a #sunken chest deep in the woods# contains #[1]#.,Dicen que un #cofre sumergido en lo profundo del bosque# contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_MAP_CHEST::99,CLEAR,They say that a #fiery skull# in Forest Temple guards #[1]#.,Dicen que una #calavera ardiente# en el Templo del Bosque custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_RAISED_ISLAND_COURTYARD_CHEST::100,CLEAR,They say that a #chest on a small island# in the Forest Temple holds #[1]#.,Dicen que un #cofre en una isla pequeña# en el Templo del Bosque posee #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_FALLING_CEILING_ROOM_CHEST::101,CLEAR,They say that beneath a #checkerboard falling ceiling# lies #[1]#.,Dicen que debajo de un #techo de ajedrez que cae# se encuentra #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_EYE_SWITCH_CHEST::102,CLEAR,They say that #blocks of stone# in the Forest Temple surround #[1]#.,Dicen que los #bloques de piedra# en el Templo del Bosque rodean #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_EYE_SWITCH_CHEST::103,CLEAR,They say that a #sharp eye# will spot #[1]#.,Dicen que un #ojo agudo# detectará #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_BOSS_KEY_CHEST::104,CLEAR,They say that a #turned trunk# contains #[1]#.,Dicen que un #tronco girado# contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_FLOORMASTER_CHEST::105,CLEAR,They say that deep in the forest #shadows guard a chest# containing #[1]#.,Dicen que en las profundidades del bosque #las sombras custodian un cofre# que contiene #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_BOW_CHEST::106,CLEAR,They say that #Stalfos deep in the Forest Temple# guard #[1]#.,Dicen que #Stalfos en las profundidades del Templo del Bosque# custodian #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_BOW_CHEST::107,CLEAR,They say that an #army of the dead# guards #[1]#.,Dicen que un #ejército de muertos# custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_RED_POE_CHEST::108,CLEAR,They say that a #red ghost# guards #[1]#.,Dicen que un #fantasma rojo# custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_RED_POE_CHEST::109,CLEAR,They say that #Joelle# guards #[1]#.,Dicen que #Joelle# custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_BLUE_POE_CHEST::110,CLEAR,They say that a #blue ghost# guards #[1]#.,Dicen que un #fantasma azul# custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_BLUE_POE_CHEST::111,CLEAR,They say that #Beth# guards #[1]#.,Dicen que #Beth# custodia #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_BASEMENT_CHEST::112,CLEAR,They say that #revolving walls# in the Forest Temple conceal #[1]#.,Dicen que las #paredes giratorias# en el Templo del Bosque ocultan #[1]#.,YES,NONE,NONE,PASS
Hint::RHT_FOREST_TEMPLE_MQ_FIRST_ROOM_CHEST::113,CLEAR,They say that a #tree in the Forest Temple# supports #[1]#.,Dicen que un #árbol en el Templo del Bosque# sostiene #[1]#.,YES,NONE,NONE,PASS
