id,english,spanish,direction_check,number_check,sequence_check,object_check,decision,notes
0x103A,"There are three kinds of items: Equipment items, [C] Button items and Quest items. --- PAGE --- Equipment items are things like  the sword, shield and clothes  that are effective when you equip them. --- PAGE --- [C] Button items can be set to  [R], [L], and [Z], and used by pressing those buttons. --- PAGE --- Quest items are things you  collect during your adventure. You just carry them around. --- PAGE --- If you want to change equipment or just check on your inventory, press START.  You will get into the Subscreens. --- PAGE --- Switch to one of the four  different Subscreens with [C-Left] or [C-Down] and change or check items as you please. Take a look around! --- PAGE --- When you decide to equip an  Equipment item, press [A]. For [C] Button items, press [R], [L] or [Z]. --- PAGE --- That was a pretty long explanation. Did you understand everything?","Hay tres tipos de objetos: Objetos de Equipo, objetos de botón [C] y objetos de Misión. --- PAGE --- Los Objetos de Equipo son cosas como la espada, el escudo y la ropa que son efectivos cuando te los equipas. --- PAGE --- Los objetos de botón [C] pueden asignarse a [R], [L] y [Z], y usarse presionando esos botones. --- PAGE --- Los objetos de Misión son cosas que recoges durante tu aventura. Solo los cargas contigo. --- PAGE --- Si quieres cambiar el equipo o solo revisar tu inventario, presiona START. Entrarás a las pantallas secundarias. --- PAGE --- Cambia a una de las cuatro diferentes pantallas secundarias con [C-Left] o [C-Down] y cambia o revisa objetos como quieras. ¡Echa un vistazo! --- PAGE --- Cuando decidas equipar un objeto de equipo, presiona [A]. Para objetos de botón [C], presiona [R], [L] o [Z]. --- PAGE --- Eso fue una explicación bastante largas. ¿Entendiste todo?",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x103F,"If you press [C-Right], you can change your view. --- PAGE --- In a place like this, it will switch to a top-down view. Outdoors, in a field for example, it will switch to a first-person perspective. --- PAGE --- Also, when ""Navi"" is displayed in the upper right of your screen,  Navi the fairy wants to talk to you. Use [C-Right] to listen to her!","Si presionas [C-Right], puedes cambiar tu vista. --- PAGE --- En un lugar como este, cambiará a una vista cenital. Afuera, en un campo por ejemplo, cambiará a una perspectiva en primera persona. --- PAGE --- Además, cuando ""Navi"" aparece en la parte superior derecha de tu pantalla, Navi el hada quiere hablar contigo. ¡Usa [C-Right] para escucharla!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x1067,That melody?! --- PAGE --- Saria plays that song all the  time! You...Do you know Saria? --- PAGE --- That song... --- PAGE --- Saria taught that song only  to her friends...,¡¿Esa melodía?! --- PAGE --- ¡Saria toca esa canción todo el tiempo! Tú... ¿conoces a Saria? --- PAGE --- Esa canción... --- PAGE --- Saria solo le enseñó esa canción a sus amigos...,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x106C,"The flow of time is always cruel... Its speed seems different for each person, but no one can  change it... --- PAGE --- A thing that doesn't change with time is a memory of younger days... --- PAGE --- In order to come back here again, play the Minuet of Forest.","El flujo del tiempo es siempre cruel... Su velocidad parece diferente para cada persona, pero nadie puede cambiarlo... --- PAGE --- Una cosa que no cambia con el tiempo es el recuerdo de los días jóvenes... --- PAGE --- Para volver aquí de nuevo, toca el Minueto del Bosque.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x109A,"Oh, Navi the fairy... Listen to my words, the words of  the Deku Tree... --- PAGE --- Dost thou sense it? The climate of evil descending  upon this realm... --- PAGE --- Malevolent forces even now are mustering to attack our land of Hyrule... --- PAGE --- For so long, the Kokiri Forest, the source of life, has stood as a  barrier, deterring outsiders and  maintaining the order of the world... --- PAGE --- But...before this tremendous evil power, even my power is as  nothing... --- PAGE --- It seems the time has come for  the boy without a fairy to begin  his journey... --- PAGE --- The youth whose destiny it is to lead Hyrule to the path of  justice and truth... --- PAGE --- Navi...go now! Find our young friend and guide him to me... --- PAGE --- I do not have much time left. --- PAGE --- Fly, Navi, fly! The fate of the forest, nay, the world, depends upon thee!","Oh, Navi el hada... Escucha mis palabras, las palabras del Árbol Deku... --- PAGE --- ¿Lo sientes? El clima de malicia descendiendo sobre este reino... --- PAGE --- Fuerzas malévolas incluso ahora se están reuniendo para atacar nuestra tierra de Hyrule... --- PAGE --- Por tanto tiempo, el Bosque Kokiri, la fuente de la vida, ha permanecido como una barrera, disuadiendo a los extraños y manteniendo el orden del mundo... --- PAGE --- Pero... ante este tremendo poder malvado, incluso mi poder es como nada... --- PAGE --- Parece que el tiempo ha llegado para que el chico sin hada comience su viaje... --- PAGE --- ¡El joven cuyo destino es llevar a Hyrule por el camino ¡de la justicia y la verdad! --- PAGE --- ¡Navi... ve ahora! Encuentra a nuestro joven amigo y guíaselo... --- PAGE --- No me queda mucho tiempo. --- PAGE --- Vuela, Navi, ¡vuela! El destino del bosque, no, del mundo, depende de ti.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x109B,"Please forgive me, master! I'll  never do it again! If you spare  me, I'll teach you something cool. --- PAGE --- You will never beat my brothers  up ahead unless you punish them  in the proper order. --- PAGE --- The order is...2  3  1 Twenty-three is number one! --- PAGE --- Do you think I'm a traitor?","¡Por favor, perdóname, señor! ¡Nunca lo volveré a hacer! Si me perdonas, te enseñaré algo genial. --- PAGE --- ¡No podrás vencer a mis hermanos adelante a menos que los castigues en el orden correcto. --- PAGE --- El orden es... 2  3  1 ¡Veintitrés es número uno! --- PAGE --- ¿Crees que soy un traidor?",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x109C,"How did you know our secret?! How irritating! --- PAGE --- It's so annoying that I'm going to reveal the secret of Queen Gohma to you! --- PAGE --- In order to administer the coup de grace to Queen Gohma, strike with your sword while she's  stunned. --- PAGE --- Oh, Queenie... --- PAGE --- Sorry about that!","¿Cómo supiste nuestro secreto?! ¡Qué irritante! --- PAGE --- ¡Es tan molesto que voy a revelarte el secreto de la Reina Gohma! --- PAGE --- Para dar el golpe de gracia a la Reina Gohma, golpea con tu espada mientras esté aturdida. --- PAGE --- Oh, Reina... ¡Lo siento por eso!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x10AA,"OK, try to follow along with the melody I will play. Are you ready?","Está bien, intenta seguir la melodía que voy a tocar. ¿Estás listo?",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x10C4,Hoo hoo!Did you learn an Ocarina song from Saria? --- PAGE --- That melody seems to have some mysterious power. --- PAGE --- There may be some other  mysterious songs like this that you can learn in Hyrule.,¡Hoo hoo!¿Aprendiste una canción de Ocarina de Saria? --- PAGE --- Esa melodía parece tener un poder misterioso. --- PAGE --- Puede haber otras canciones misteriosas como esta que puedas aprender en Hyrule.,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x10C5,"If you hold the Ocarina with [C] where a melody is necessary, a  musical staff will appear. --- PAGE --- I recommend that you play a song you know. --- PAGE --- I also suggest that you play even when a score is not displayed.  Just like this: Hoo hoo hoo hoot hoot hoot!","Si sostienes la Ocarina con [C] donde se necesita una melodía, aparecerá un pentagrama. --- PAGE --- Te recomiendo que toques una canción que ya conozcas. --- PAGE --- También sugiero que toques aunque no se muestre una partitura.  Así como: ¡Hoo hoo hoo hoot hoot hoot!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x2003,"How about trying your skill with Epona on an obstacle course? --- PAGE --- I'll time you for two laps. It's pretty challenging. If you miss jumping a fence in the  proper order, you'll fail. --- PAGE --- How about it? Do you want to try?  [CHOICE:2]Let's go Don't do it","¿Qué tal si pones a prueba tu habilidad con Epona en un circuito de obstáculos? --- PAGE --- Te cronometraré por dos vueltas. Es bastante desafiante. Si fallas al saltar una valla en el orden correcto, perderás. --- PAGE --- ¿Qué tal? ¿Quieres intentarlo?  [CHOICE:2]Vamos No hacerlo",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x2008,"[PLAYER], when you hold this Ocarina in your hand...I won't be around anymore...I wanted to wait for you, but I couldn't delay any longer...At least I could leave you the  Ocarina and this melody...","[PLAYER], cuando sostengas esta Ocarina en tu mano...ya no estaré por aquí...Quería esperarte, pero no pude esperar más...Al menos pude dejarte la Ocarina y esta melodía...",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x2009,"Now, [PLAYER]. Play this melody in front of the altar in the Temple of Time. You must protect the Triforce!","Ahora, [PLAYER]. Toca esta melodía frente al altar en el Templo del Tiempo. ¡Debes proteger el Triforce!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x206F,"[PLAYER]! Wait up, buddy! Hoo hoo!Head south from here to reach Lake Hylia's full, rich waters. --- PAGE --- If you go west, you'll find  Gerudo Valley. There's a hideout of a gang of thieves on the other side of the valley. --- PAGE --- Well, you're free to go anywhere you want! Ho ho ho...hooo!","¡[PLAYER]! ¡Espera, compa! ¡Hoo hoo! Ve hacia el sur desde aquí para llegar al Lago Hylia con sus aguas abundantes y profundas. --- PAGE --- Si vas al oeste, encontrarás el Valle Gerudo. Hay un escondite de una banda de ladrones al otro lado del valle. --- PAGE --- ¡Bueno, eres libre de ir a donde quieras! ¡Ho ho ho...hooo!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x2071,"Beyond this point lies Lake Hylia. It is full of deep, pure water.The Zoras, who live all the  way upstream, guard the sunken temple at the lake's bottom, as  well as Zora's Fountain. --- PAGE --- If you want to confirm its location  on the map, press START to  switch to the Subscreens and [C-Left]  or [C-Down] to find the Map. --- PAGE --- All the places you have visited  will be shown on the map.  Ho hoo hoot!","Más allá de este punto se encuentra el Lago Hylia. Está lleno de agua pura y profunda.Los Zoras, que viven toda la ribera arriba, guardan el templo sumergido en el fondo del lago, como también la Fuente Zora. --- PAGE --- Si quieres confirmar su ubicación en el mapa, presiona START para cambiar a las Subpantallas y [C-Left]  o [C-Down] para encontrar el Mapa. --- PAGE --- Todos los lugares que hayas visitado se mostrarán en el mapa. ¡Ho hoo hoot!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x300A,I'm standing here to shade the Bomb Flowers from the sun. --- PAGE --- Do you have a question for me?  [CHOICE:2]Ask about Bomb Flowers Ask about Dodongo's Cavern,Estoy aquí para dar sombra a las Flores Bomba del sol. --- PAGE --- ¿Tienes alguna pregunta para mí?  [CHOICE:2]Preguntar sobre las Flores Bomba Preguntar sobre la Cueva de Dodongo,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x300D,"Did you see the cavern on your  way here? That is the Dodongo's  Cavern. --- PAGE --- Because the light inside is very  dim, the Bomb Flowers, a plant  unique to this mountain, grow like crazy in there!","¿Viste la cueva en tu camino hasta aquí? Esa es la Cueva de Dodongo. --- PAGE --- Debido a que la luz dentro es muy tenue, las Flores Bomba, una planta única de esta montaña, crecen como locas allí dentro.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x3022,"I know a trick to conserve sticks! If you light a stick on fire, it will  burn to ashes. Press [A] to put it away before it completely burns! --- PAGE --- By the way, I hid a stick somewhere... Hehehee...","¡Soy un experto en ahorrar palos! Si prendes un palo en fuego, se quemará hasta convertirse en cenizas. ¡Presiona [A] para guardarlo antes de que se queme completamente! --- PAGE --- Por cierto, escondí un palo en algún lugar... Jejeje...",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x306E,"I'll tell you a secret for saving me! --- PAGE --- In order to get into the room where Darunia went, you have to do something about the pillar stuck in the ceiling. --- PAGE --- Find a path that leads to a room above the ceiling right away!","Te voy a contar un secreto por haberme salvado. --- PAGE --- Para entrar a la sala donde fue Darunia, tienes que hacer algo con el pilar atrapado en el techo. --- PAGE --- Encuentra un camino que lleve a una sala sobre el techo de inmediato.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x4011,"All of the water in Hyrule flows from Zora's Fountain. --- PAGE --- That water flows through Zora's River, which eventually reaches Lake Hylia to the south.","Toda el agua en Hyrule fluye de la Fuente de los Zoras. --- PAGE --- Esa agua fluye por el Río Zora, que eventualmente llega al Lago Hylia al sur.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x4031,"Hoo hoo! Looks like you've gotten bigger and stronger already, [PLAYER]! --- PAGE --- Just ahead lies Zora's Domain.  The Zoras serve Hyrule's Royal  Family by protecting this water  source. --- PAGE --- Their door will not open for  anyone except those who have some connection with the Royal  Family. --- PAGE --- Let them hear the melody of the  Royal Family! Hooo hoo hoooot!","Joo joo. Parece que te has vuelto más grande y fuerte, [PLAYER]. --- PAGE --- Justo adelante está el Territorio de los Zoras. Los Zoras sirven a la Familia Real de Hyrule protegiendo esta fuente de agua. --- PAGE --- Su puerta no se abrirá para nadie excepto aquellos que tengan alguna conexión con la Familia Real. --- PAGE --- Que escuchen la melodía de la Familia Real. Jooo joo jooo.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x4037,"This ice is created by an evil curse... The monster in the Water Temple is the source of the curse. --- PAGE --- Unless you shut off the source,  this ice will never melt.... --- PAGE --- If you have courage enough to  confront the danger and save  the Zoras, I will teach you the  melody that leads to the temple.","Este hielo fue creado por una maldición malvada. El monstruo en el Templo del Agua es el origen de la maldición. --- PAGE --- A menos que cierres el origen, este hielo nunca se derretirá. --- PAGE --- Si tienes el valor suficiente para enfrentar el peligro y salvar a los Zoras, te enseñaré la melodía que lleva al templo.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x4056,"What a graceful dive! Now, please take this! --- PAGE --- This is a ""scale"" of our kind. With this, you can dive much deeper under the water.","Qué buceo tan elegante. Ahora, por favor toma esto. --- PAGE --- Esta es una ""escama"" de nuestra especie. Con ella, puedes bucear mucho más profundo bajo el agua.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x406D,"You may not have noticed, but I've been watching you. You dove  1 meter just now. But I wouldn't  call that a real dive.","Puede que no lo hayas notado, pero  he estado observándote. Te sumergiste  1 metro ahora mismo. Pero no  llamaría a eso un buceo real.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x406E,"You may not have noticed, but I've been watching you. You dove  2 meters just now. But I wouldn't  call that a real dive.","Puede que no lo hayas notado, pero  he estado observándote. Te sumergiste  2 metros ahora mismo. Pero no  llamaría a eso un buceo real.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x406F,"You may not have noticed, but I've been watching you. You dove  3 meters just now. But I wouldn't  call that a real dive.","Puede que no lo hayas notado, pero  he estado observándote. Te sumergiste  3 metros ahora mismo. Pero no  llamaría a eso un buceo real.",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x4072,"You may not have noticed, but I've been watching you. You dove  6 meters just now. You should be able to dive deeper!","Puede que no lo hayas notado, pero  he estado observándote. Te sumergiste  6 metros ahora mismo. ¡Deberías  poder bucear más profundo!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x4073,"You may not have noticed, but I've been watching you. You dove  7 meters just now. You should be able to dive deeper!","Puede que no lo hayas notado, pero  he estado observándote. Te sumergiste  7 metros ahora mismo. ¡Deberías  poder bucear más profundo!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x4075,Your diving is the best in the  world. Why don't you dive to the  bottom of Lake Hylia?,Tu buceo es el mejor del  mundo. ¿Por qué no buceas hasta  el fondo del Lago Hylia?,PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x40A9,"Young lad, you play the Ocarina well... Mmmmm...! That melody is  so fine...ribbit! We all should practice it, ribbit! --- PAGE --- Take Rupees as a souvenir! If you come up with another nice  melody, please drop by and play it...Ribbit ribbit!","Joven, tocas la Ocarina  bien... ¡Mmmmm...! ¡Esa melodía es  tan hermosa... croac! ¡Todos deberíamos  practicarla, croac! --- PAGE --- ¡Toma Rupias como recuerdo! Si se te ocurre otra buena  melodía, por favor pasa y toca  la... ¡Croac croac!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
0x40AA,"Wow, that melody is so cool!  Ribbit! --- PAGE --- Siiiiingin' in the raaaaaain, Oh what a feeling!  Rrrrrribbbit!! --- PAGE --- Please take this as a token of our froggish gratitude, ribbit! All right. See you, ribbit!","¡Vaya, esa melodía es tan genial! Croac! --- PAGE --- ¡Cantando bajo la lluuuvia, ¡Oh qué sensación! ¡Croaaac!! --- PAGE --- Por favor toma esto como símbolo  de nuestra gratitud ranuna, croac! ¡A ver, hasta luego, croac!",PASS,PASS,PASS,PASS,PASS,"Cardinal directions, quantities, and sequence condition logic certified"
