id,system,english,spanish,is_intentional_proper_noun,is_cvar_identifier,status,notes
0x403C,MAIN_GAME,403C,403C,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x403D,MAIN_GAME,403D,403D,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x4040,MAIN_GAME,4040,4040,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x4044,MAIN_GAME,4044,4044,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x506F,MAIN_GAME,506f,506f,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x601C,MAIN_GAME,601C,601C,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x6073,MAIN_GAME,6073,6073,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x6087,MAIN_GAME,6087,6087,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x6088,MAIN_GAME,6088,6088,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x6089,MAIN_GAME,6089,6089,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x608A,MAIN_GAME,608A,608A,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x608B,MAIN_GAME,608B,608B,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x608C,MAIN_GAME,608C,608C,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x608D,MAIN_GAME,608D,608D,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x608E,MAIN_GAME,608E,608E,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x608F,MAIN_GAME,608F,608F,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x7068,MAIN_GAME,7068,7068,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x7069,MAIN_GAME,7069,7069,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x706A,MAIN_GAME,706a,706a,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x706B,MAIN_GAME,706b,706b,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
0x7096,MAIN_GAME,Tsk Tsk.,Tsk Tsk.,NO,NO,UNTRANSLATED_RESIDUAL,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_COJIRO::145,RANDOMIZER,Cojiro,Cojiro,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_PROGRESSIVE_BOMBCHUS::229,RANDOMIZER,Bombchus,Bombchus,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_GREG_RUPEE::629,RANDOMIZER,Greg,Greg,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_EPONA::814,RANDOMIZER,Epona,Epona,YES,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_COLOSSUS_GROTTO::273,RANDOMIZER,2 Deku Scrubs,2 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_ZR_STORMS_GROTTO::274,RANDOMIZER,2 Deku Scrubs,2 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_SFM_STORMS_GROTTO::275,RANDOMIZER,2 Deku Scrubs,2 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_GV_STORMS_GROTTO::276,RANDOMIZER,2 Deku Scrubs,2 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_LH_GROTTO::277,RANDOMIZER,3 Deku Scrubs,3 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_DMC_HAMMER_GROTTO::278,RANDOMIZER,3 Deku Scrubs,3 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_GC_GROTTO::279,RANDOMIZER,3 Deku Scrubs,3 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_LLR_GROTTO::280,RANDOMIZER,3 Deku Scrubs,3 Deku Scrubs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Hint::RHT_JUNK39::324,RANDOMIZER,"Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.","Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.
--- PAGE ---
Mweep.",NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ITEM::RG_POCKET_EGG,RANDOMIZER,Cojiro,Cojiro,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ITEM::L269,RANDOMIZER,Bombchus (5),Bombchus (5),NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ITEM::L270,RANDOMIZER,Bombchus (10),Bombchus (10),NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ITEM::L271,RANDOMIZER,Bombchus (20),Bombchus (20),NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
ENTRANCE::L111,RANDOMIZER,Gohma,Gohma,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
ENTRANCE::L139,RANDOMIZER,Phantom Ganon,Phantom Ganon,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
ENTRANCE::L188,RANDOMIZER,Bongo-Bongo,Bongo-Bongo,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
ENTRANCE::L219,RANDOMIZER,Volvagia,Volvagia,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
ENTRANCE::L259,RANDOMIZER,Barinade,Barinade,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
ENTRANCE::L311,RANDOMIZER,Morpha,Morpha,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
ENTRANCE::L368,RANDOMIZER,Twinrova,Twinrova,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
LOCATION::RC_BARINADE,RANDOMIZER,Barinade,Barinade,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
LOCATION::RC_VOLVAGIA,RANDOMIZER,Volvagia,Volvagia,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
LOCATION::RC_MORPHA,RANDOMIZER,Morpha,Morpha,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
LOCATION::RC_TWINROVA,RANDOMIZER,Twinrova,Twinrova,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
LOCATION::RC_BONGO_BONGO,RANDOMIZER,Bongo Bongo,Bongo Bongo,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
LOCATION::RC_GANON,RANDOMIZER,Ganon,Ganon,YES,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L4997,RANDOMIZER,#FOOL#!,#FOOL#!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5061,RANDOMIZER,WINNER!,WINNER!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5062,RANDOMIZER,LOSER!,LOSER!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5135,RANDOMIZER,#Proceed#.,#Proceed#.,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5174,RANDOMIZER,#NARR#!,#NARR#!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5266,RANDOMIZER,GEWINNER!,GEWINNER!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5267,RANDOMIZER,VERLIERER!,VERLIERER!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5274,RANDOMIZER,#Kacknoob#!,#Kacknoob#!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5286,RANDOMIZER,#Glacier#!,#Glacier#!,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5330,RANDOMIZER,parfait.,parfait.,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
Rando::ICE_TRAP::L5338,RANDOMIZER,#Continue#,#Continue#,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L24,SOH_UI,Normal,Normal,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L128,SOH_UI,General,General,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L129,SOH_UI,General,General,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L156,SOH_UI,CursorVisibility,CursorVisibility,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L160,SOH_UI,CursorVisibility,CursorVisibility,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L191,SOH_UI,BootSequence,BootSequence,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L209,SOH_UI,TitleScreenTranslation,TitleScreenTranslation,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L226,SOH_UI,A11yTTS,A11yTTS,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L231,SOH_UI,A11yDisableIdleCam,A11yDisableIdleCam,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L234,SOH_UI,EXPERIMENTAL,EXPERIMENTAL,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L236,SOH_UI,ImGuiScale,ImGuiScale,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L262,SOH_UI,Audio,Audio,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L264,SOH_UI,Audio,Audio,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L355,SOH_UI,InterpolationFPS,InterpolationFPS,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L358,SOH_UI,InterpolationFPS,InterpolationFPS,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L375,SOH_UI,MatchRefreshRate,MatchRefreshRate,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L429,SOH_UI,ControllerConfiguration,ControllerConfiguration,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L448,SOH_UI,InputViewerSettings,InputViewerSettings,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L508,SOH_UI,ModMenu,ModMenu,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L37,SOH_UI,Normal,Normal,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L44,SOH_UI,Navi,Navi,YES,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L45,SOH_UI,NPCs,NPCs,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L96,SOH_UI,OHKO,OHKO,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L102,SOH_UI,Jalapeño,Jalapeño,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L103,SOH_UI,Serrano,Serrano,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L104,SOH_UI,Habanero,Habanero,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L164,SOH_UI,RememberSaveLocation,RememberSaveLocation,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L171,SOH_UI,ChestSizeAndTextureMatchContents,ChestSizeAndTextureMatchContents,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L173,SOH_UI,ChestSizeAndTextureMatchContents,ChestSizeAndTextureMatchContents,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L174,SOH_UI,ChestSizeDependsStoneOfAgony,ChestSizeDependsStoneOfAgony,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L190,SOH_UI,ChestSizeDependsStoneOfAgony,ChestSizeDependsStoneOfAgony,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L192,SOH_UI,ChestSizeAndTextureMatchesContents,ChestSizeAndTextureMatchesContents,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L198,SOH_UI,NightGSAlwaysSpawn,NightGSAlwaysSpawn,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L201,SOH_UI,DayGravePull,DayGravePull,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L204,SOH_UI,DampeAllNight,DampeAllNight,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L208,SOH_UI,MarketSneak,MarketSneak,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L213,SOH_UI,OpenAllHours,OpenAllHours,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L225,SOH_UI,PauseAnyCursor,PauseAnyCursor,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L233,SOH_UI,PauseWarp,PauseWarp,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L240,SOH_UI,NaviOnL,NaviOnL,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L244,SOH_UI,NoInputForCredits,NoInputForCredits,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L250,SOH_UI,IncludeHeldInputsBufferWindow,IncludeHeldInputsBufferWindow,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L256,SOH_UI,PauseBufferWindow,PauseBufferWindow,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L289,SOH_UI,DisableCritWiggle,DisableCritWiggle,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L293,SOH_UI,BetterOwl,BetterOwl,NO,YES,CERTIFIED_VALID_UNTRANSLATED,Proper noun or internal CVar identifier; translation would violate engine integrity
