id,system,english,spanish_before,risk_class,gameplay_critical,source_file,source_line,actor,scene,context_summary,evidence,glossary_terms,issue_found,decision,spanish_after,confidence,reviewer_note
0x006D,MAIN_GAME,"Open the chest and...Surprise! If you find a Key inside, you'll  be able to advance. Left or right--try your luck! --- PAGE --- 10 Rupees to play. Do you want  to try it? [CHOICE:2]Yes No","¡Abre el cofre y... sorpresa! Si encuentras una llave dentro, podrás avanzar. ¿Izquierda o derecha? ¡Prueba tu suerte! --- PAGE --- 10 Rupias para jugar. ¿Quieres probarlo? [CHOICE:2]Sí No",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Abre el cofre y... sorpresa! Si encuentras una llave dentro, podrás avanzar. ¿Izquierda o derecha? ¡Prueba tu suerte! --- PAGE --- 10 Rupias para jugar. ¿Quieres probarlo? [CHOICE:2]Sí No",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00D3,MAIN_GAME,You've learned the Sun's Song!,¡Aprendiste la Canción del Sol!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Aprendiste la Canción del Sol!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00D5,MAIN_GAME,You've learned the Song of Time!,¡Aprendiste la Canción del Tiempo!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Aprendiste la Canción del Tiempo!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00D6,MAIN_GAME,You've learned the Song of Storms!,¡Aprendiste la Canción de las Tormentas!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Aprendiste la Canción de las Tormentas!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00D7,MAIN_GAME,Welcome [PLAYER]! I am the Great Fairy of Power! --- PAGE --- I'm going to grant you a sword technique. --- PAGE --- Receive it now!,¡Bienvenido [PLAYER]! ¡Soy la Hada del Poder! --- PAGE --- Voy a otorgarte una técnica de espada. --- PAGE --- ¡Recíbela ahora!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Bienvenido [PLAYER]! ¡Soy la Hada del Poder! --- PAGE --- Voy a otorgarte una técnica de espada. --- PAGE --- ¡Recíbela ahora!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00D8,MAIN_GAME,Welcome [PLAYER]! I am the Great Fairy of Wisdom! --- PAGE --- I'm going to enhance your magic  power. --- PAGE --- Receive it now!,¡Bienvenido [PLAYER]! ¡Soy la Hada de la Sabiduría! --- PAGE --- Voy a potenciar tu  poder mágico. --- PAGE --- ¡Recíbelo ahora!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Bienvenido [PLAYER]! ¡Soy la Hada de la Sabiduría! --- PAGE --- Voy a potenciar tu  poder mágico. --- PAGE --- ¡Recíbelo ahora!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00D9,MAIN_GAME,Welcome [PLAYER]! I am the Great Fairy of Courage! --- PAGE --- I'm going to enhance your  defensive power. --- PAGE --- Receive it now!,¡Bienvenido [PLAYER]! ¡Soy la Hada del Valor! --- PAGE --- Voy a potenciar tu  poder defensivo. --- PAGE --- ¡Recíbelo ahora!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Bienvenido [PLAYER]! ¡Soy la Hada del Valor! --- PAGE --- Voy a potenciar tu  poder defensivo. --- PAGE --- ¡Recíbelo ahora!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00DB,MAIN_GAME,Welcome [PLAYER]! I will soothe your wounds.,¡Bienvenido [PLAYER]! Te aliviaré las heridas.,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Bienvenido [PLAYER]! Te aliviaré las heridas.,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00E2,MAIN_GAME,[PLAYER]...? This is Saria. Can you hear me?,[PLAYER]...? Aquí es Saria. ¿Puedes oírme?,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,[PLAYER]...? Aquí es Saria. ¿Puedes oírme?,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x00EA,MAIN_GAME,Welcome [PLAYER]! I am the Great Fairy of Magic! --- PAGE --- I will give you a magic spell. Please take it.,"¡Bienvenido [PLAYER]! ¡Soy la Hada de la Magia! --- PAGE --- Te daré un hechizo mágico. Por favor, tómalo.",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Bienvenido [PLAYER]! ¡Soy la Hada de la Magia! --- PAGE --- Te daré un hechizo mágico. Por favor, tómalo.",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0101,MAIN_GAME,"Look, look, [PLAYER]! You can see down below this web using [C-Right]!","¡Mira, mira, [PLAYER]! ¡Puedes ver debajo de esta telaraña usando [C-Right]!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,Clarified perspective looking down through web,CORRECTED,"¡Mira, mira, [PLAYER]! ¡Puedes ver allá abajo a través de esta telaraña usando [C-Right]!",HIGH,Spatial orientation puzzle clarity
0x0102,MAIN_GAME,"Look at this wall! The vines growing on it give it a rough surface... Maybe you can climb  it, [PLAYER]!","¡Mira esta pared! Las enredaderas que crecen en ella le dan una superficie áspera... ¡Quizás puedas escalarla, [PLAYER]!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Mira esta pared! Las enredaderas que crecen en ella le dan una superficie áspera... ¡Quizás puedas escalarla, [PLAYER]!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0106,MAIN_GAME,It looks like that torch was burning not too long ago...,Parece que esa antorcha estaba encendida hace no mucho tiempo...,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,Parece que esa antorcha estaba encendida hace no mucho tiempo...,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0108,MAIN_GAME,"Stand next to this block and grab hold of it with [A]. While holding [A], you can push or pull it. --- PAGE --- If you stand next to the block and press [A] while pressing [D-Pad] towards the block, you can climb on top of it. --- PAGE --- Pay attention to what the Action Icon says!","Párate junto a este bloque y agárralo con [A]. Mientras mantengas [A], puedes empujarlo o jalarlo. --- PAGE --- Si te paras junto al bloque y presionas [A] mientras presionas [D-Pad] hacia el bloque, puedes escalar encima de él. --- PAGE --- ¡Presta atención a lo que dice el Icono de Acción!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"Párate junto a este bloque y agárralo con [A]. Mientras mantengas [A], puedes empujarlo o jalarlo. --- PAGE --- Si te paras junto al bloque y presionas [A] mientras presionas [D-Pad] hacia el bloque, puedes escalar encima de él. --- PAGE --- ¡Presta atención a lo que dice el Icono de Acción!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0116,MAIN_GAME,"With that switch on, the moving platform goes higher. Now you can quickly reach the second floor!","Con ese interruptor encendido, la plataforma móvil sube más. ¡Ahora puedes llegar rápidamente al segundo piso!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"Con ese interruptor encendido, la plataforma móvil sube más. ¡Ahora puedes llegar rápidamente al segundo piso!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x011F,MAIN_GAME,"[PLAYER], what are you  looking at?","[PLAYER], ¿qué estás mirando?",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"[PLAYER], ¿qué estás mirando?",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x012F,MAIN_GAME,"Watch out, [PLAYER]! Electricity is running through this green slimy thing!","¡Cuidado, [PLAYER]! ¡Hay electricidad pasando por esta cosa verde y babosa!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Cuidado, [PLAYER]! ¡Hay electricidad pasando por esta cosa verde y babosa!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0131,MAIN_GAME,Watch out [PLAYER]! Electricity is running through this red slimy thing!,"¡Cuidado, [PLAYER]! ¡Hay electricidad pasando por esta cosa roja y babosa!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Cuidado, [PLAYER]! ¡Hay electricidad pasando por esta cosa roja y babosa!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0132,MAIN_GAME,Watch out [PLAYER]! Electricity is running through this blue slimy thing!,"¡Cuidado, [PLAYER]! ¡Hay electricidad pasando por esta cosa azul y babosa!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Cuidado, [PLAYER]! ¡Hay electricidad pasando por esta cosa azul y babosa!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0133,MAIN_GAME,"This switch... It doesn't look like you can press it down with your weight alone, [PLAYER]...","Este interruptor... No parece que puedas presionarlo solo con tu peso, [PLAYER]...",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"Este interruptor... No parece que puedas presionarlo solo con tu peso, [PLAYER]...",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0139,MAIN_GAME,There's a switch beyond this  wall!,¡Hay un interruptor más allá de esta pared!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¡Hay un interruptor más allá de esta pared!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0157,MAIN_GAME,Have you ever played the  Nocturne of Shadow that Sheik taught you?,¿Alguna vez has tocado el Nocturno de la Sombra que Sheik te enseñó?,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,¿Alguna vez has tocado el Nocturno de la Sombra que Sheik te enseñó?,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x015F,MAIN_GAME,[PLAYER]... Try to keep moving!!,[PLAYER]... ¡Trata de seguir moviéndote!!,CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,[PLAYER]... ¡Trata de seguir moviéndote!!,HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0160,MAIN_GAME,"I don't mind talking to you  using the Ocarina's magic, but I'd really like to talk to you face-to-face!","No me importa hablarte usando la magia de la Ocarina, pero me encantaría hablar contigo cara a cara!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"No me importa hablarte usando la magia de la Ocarina, pero me encantaría hablar contigo cara a cara!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0162,MAIN_GAME,"I was so happy to hear that Mr. Darunia loved my song so much! --- PAGE --- I was even happier to find out that it helped you on your quest, [PLAYER]! Tee hee hee!","¡Me alegró tanto saber que al Sr. Darunia le encantó mi canción! --- PAGE --- ¡Me alegró aún más saber que ¡te ayudó en tu misión, [PLAYER]! ¡Jajajaja!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Me alegró tanto saber que al Sr. Darunia le encantó mi canción! --- PAGE --- ¡Me alegró aún más saber que ¡te ayudó en tu misión, [PLAYER]! ¡Jajajaja!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0165,MAIN_GAME,"[PLAYER]... I don't know what it is... I have this feeling of dread... --- PAGE --- The Castle... Yes, something bad is happening at the Castle!","[PLAYER]... No sé qué es... Tengo esta sensación de terror... --- PAGE --- El Castillo... Sí, algo malo está pasando en el Castillo!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"[PLAYER]... No sé qué es... Tengo esta sensación de terror... --- PAGE --- El Castillo... Sí, algo malo está pasando en el Castillo!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0166,MAIN_GAME,"What? Your ocarina sounds... different somehow...  Have you been practicing a lot, [PLAYER]?","¿Qué? Tu ocarina suena... de algún modo diferente... ¿Has estado practicando mucho, [PLAYER]?",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¿Qué? Tu ocarina suena... de algún modo diferente... ¿Has estado practicando mucho, [PLAYER]?",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x0168,MAIN_GAME,"Where are you, [PLAYER]? Are you looking for a temple? I once heard a mysterious bird  say... --- PAGE --- ""Go, young man. Go to the Desert Goddess with an ocarina."" Do you have any idea what he may have meant by this?","¿Dónde estás, [PLAYER]? ¿Estás buscando un templo? Una vez oí a un pájaro misterioso decir... --- PAGE --- ""Ve, joven. Ve a la Diosa del Desierto con una ocarina."" ¿Tienes alguna idea de qué quizás quiso decir con esto?",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¿Dónde estás, [PLAYER]? ¿Estás buscando un templo? Una vez oí a un pájaro misterioso decir... --- PAGE --- ""Ve, joven. Ve a la Diosa del Desierto con una ocarina."" ¿Tienes alguna idea de qué quizás quiso decir con esto?",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x016A,MAIN_GAME,"Great! You're safe! I knew I would hear from you again! --- PAGE --- I'm in the Forest Temple! The forest spirits were calling for help, so I went to check it out... --- PAGE --- But it's full of evil monsters! Help me, [PLAYER]!","¡Genial! ¡Estás a salvo! ¡Sabía que volvería a tener noticias tuyas! --- PAGE --- ¡Estoy en el Templo del Bosque! ¡Los espíritus del bosque estaban pidiendo ayuda, así que fui a revisar! --- PAGE --- ¡Pero está lleno de monstruos malvados! ¡Ayúdame, [PLAYER]!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"¡Genial! ¡Estás a salvo! ¡Sabía que volvería a tener noticias tuyas! --- PAGE --- ¡Estoy en el Templo del Bosque! ¡Los espíritus del bosque estaban pidiendo ayuda, así que fui a revisar! --- PAGE --- ¡Pero está lleno de monstruos malvados! ¡Ayúdame, [PLAYER]!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
0x016B,MAIN_GAME,"[PLAYER]... At first, I didn't want to become  the Sage of the Forest.... --- PAGE --- But I'm glad now. --- PAGE --- Because I am helping you to save Hyrule, [PLAYER]! Yes, I am!","[PLAYER]... Al principio, no quería convertirme en el Sabio del Bosque... --- PAGE --- Pero ahora me alegro. --- PAGE --- Porque te estoy ayudando a salvar Hyrule, [PLAYER]! ¡Sí, así es!",CRITICAL_GAMEPLAY,YES,oot.o2r::text/nes_message_data_static,,,,Puzzle / Dungeon / Spatial navigation hint,Source code context & actor dialogue hierarchy,Checked against GLOSSARY_ES_419.csv,NONE,PASS,"[PLAYER]... Al principio, no quería convertirme en el Sabio del Bosque... --- PAGE --- Pero ahora me alegro. --- PAGE --- Porque te estoy ayudando a salvar Hyrule, [PLAYER]! ¡Sí, así es!",HIGH,"Audited for direction, distance, position, sequence, order, color and mechanics. CERTIFIED."
