id,english,current_spanish,category,risk_level,context_source,context_summary,literal_translation_risk,gameplay_risk,terminology_risk,decision,corrected_spanish,confidence,notes
Rando::GIMESSAGE::RG_GREG_RUPEE,You found gGregw!,¡Encontraste a Greg!,NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_MASTER_SWORD,You found the gMaster Swordw!,¡Encontraste la Espada Maestra!,NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTLE_WITH_BLUE_FIRE,"You got a rBottle with Blue 
Firew! Use it to melt Red Ice!","¡Obtuviste una Botella con Fuego
Azul! ¡Úsala para derretir el Hielo Rojo!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTLE_WITH_BUGS,"You got a rBug in a Bottlew!
They love to burrow in
dirt holes!","¡Obtuviste un Bicho en una Botella!
¡A ellos les encanta
tunnelar en agujeros de tierra!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTLE_WITH_FAIRY,"You got a rFairy in a Bottlew!
Use it wisely!","¡Obtuviste un Hada en una Botella!
¡Úsala con sabiduría!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTLE_WITH_RED_POTION,"You got a rBottle of Red Potionw!
Drink it to replenish your
ghealthw!","¡Obtuviste una Botella de Poción Roja!
¡Bébela para reponer tu
vida!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTLE_WITH_GREEN_POTION,"You got a rBottle of Green Potionw!
Drink it to replenish your
bmagicw!","¡Obtuviste una Botella de Poción Verde!
¡Bébela para reponer tu
magia!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GERUDO_FORTRESS_SMALL_KEY,"You found a yThieves' Hideout 
wSmall Key!","¡Encontraste una Llave Pequeña
del Refugio de los Ladrones!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FOREST_TEMPLE_SMALL_KEY,"You found a gForest Temple 
wSmall Key!","¡Encontraste una Llave Pequeña
del Templo del Bosque!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FIRE_TEMPLE_SMALL_KEY,"You found a rFire Temple 
wSmall Key!","¡Encontraste una Llave Pequeña
del Templo del Fuego!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_WATER_TEMPLE_SMALL_KEY,"You found a bWater Temple 
wSmall Key!","¡Encontraste una Llave Pequeña
del Templo del Agua!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_SMALL_KEY,"You found a ySpirit Temple 
wSmall Key!","¡Encontraste una Llave Pequeña
del Templo del Espíritu!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_SMALL_KEY,"You found a pShadow Temple 
wSmall Key!","¡Encontraste una Llave Pequeña
del Templo de la Sombra!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_SMALL_KEY,"You found a pBottom of the 
Well wSmall Key!","¡Encontraste una Llave Pequeña
del Fondo del Pozo!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GERUDO_TRAINING_GROUND_SMALL_KEY,"You found a yGerudo Training 
Ground wSmall Key!","¡Encontraste una Llave Pequeña
del Terreno de Entrenamiento Gerudo!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GANONS_CASTLE_SMALL_KEY,"You found a rGanon's Castle 
wSmall Key!","¡Encontraste una Llave Pequeña
del Castillo de Ganon!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GUARD_HOUSE_KEY,"You found the key to the
gGuard Housew!","¡Encontraste la llave de la
casa de la Guardia!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_MARKET_BAZAAR_KEY,"You found the key to the
gMarket Bazaarw!","¡Encontraste la llave del
Bazar del Mercado!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_MARKET_POTION_SHOP_KEY,"You found the key to the
gMarket Potion Shopw!","¡Encontraste la llave de la
tienda de pociones del Mercado!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_MASK_SHOP_KEY,"You found the key to the
gMask Shopw!","¡Encontraste la llave de la
tienda de máscaras!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_MARKET_SHOOTING_GALLERY_KEY,"You found the key to the
gMarket Shooting Galleryw!","¡Encontraste la llave de la
galería de tiro del Mercado!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOMBCHU_BOWLING_KEY,"You found the key to the
gBombchu Bowling Alleyw!","¡Encontraste la llave de la
bolera de Bombchu!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_TREASURE_CHEST_GAME_BUILDING_KEY,"You found the key to the
gTreasure Chest Game Buildingw!","¡Encontraste la llave del edificio
del juego del Cofre del Tesoro!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOMBCHU_SHOP_KEY,"You found the key to the
gBombchu Shopw!","¡Encontraste la llave de la
tienda de Bombchu!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_RICHARDS_HOUSE_KEY,"You found the key to
gRichard's Housew!","¡Encontraste la llave de la
casa de Richard!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_ALLEY_HOUSE_KEY,"You found the key to
the gAlley Housew!","¡Encontraste la llave de la
casa del callejón!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_KAK_BAZAAR_KEY,"You found the key to the
gKakariko Bazaarw!","¡Encontraste la llave del
Bazar de Kakariko!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_KAK_POTION_SHOP_KEY,"You found the key to the
gKakariko Potion Shopw!","¡Encontraste la llave de la
tienda de pociones de Kakariko!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOSS_HOUSE_KEY,"You found the key to the
gBoss's Housew!","¡Encontraste la llave de la
casa del Jefe!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GRANNYS_POTION_SHOP_KEY,"You found the key to
gGranny's Potion Shopw!","¡Encontraste la llave de la
tienda de pociones de la Abuela!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SKULLTULA_HOUSE_KEY,"You found the key to the
gSkulltula Housew!","¡Encontraste la llave de la
casa de Skulltula!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_IMPAS_HOUSE_KEY,"You found the key to
gImpa's Housew!","¡Encontraste la llave de la
casa de Impa!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_WINDMILL_KEY,"You found the key to the
gWindmillw!","¡Encontraste la llave del
molino!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_KAK_SHOOTING_GALLERY_KEY,"You found the key to the
gKakariko Shooting Galleryw!","¡Encontraste la llave de la
galería de tiro de Kakariko!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_DAMPES_HUT_KEY,"You found the key to
gDampe's Hutw!","¡Encontraste la llave de la
cabaña de Dampe!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_TALONS_HOUSE_KEY,"You found the key to
gTalon's Housew!","¡Encontraste la llave de la
casa de Talon!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_STABLES_KEY,"You found the key to the
gStablesw!","¡Encontraste la llave de las
cuadras!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BACK_TOWER_KEY,"You found the key to the
gBack Towerw!","¡Encontraste la llave de la
torre trasera!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_HYLIA_LAB_KEY,"You found the key to the
gHylia Laboratoryw!","¡Encontraste la llave del
laboratorio de Hylia!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FISHING_HOLE_KEY,"You found the key to the
gPondw!","¡Encontraste la llave del
estanque!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GERUDO_FORTRESS_KEY_RING,"You found a yThieves' Hideout
wKeyring!","¡Encontraste un Llavero del
Refugio de los Ladrones!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FOREST_TEMPLE_KEY_RING,"You found a gForest Temple
wKeyring!","¡Encontraste un Llavero del
Templo del Bosque!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FIRE_TEMPLE_KEY_RING,"You found a rFire Temple
wKeyring!","¡Encontraste un Llavero del
Templo del Fuego!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_WATER_TEMPLE_KEY_RING,"You found a bWater Temple
wKeyring!","¡Encontraste un Llavero del
Templo del Agua!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_KEY_RING,"You found a ySpirit Temple
wKeyring!","¡Encontraste un Llavero del
Templo del Espíritu!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_KEY_RING,"You found a pShadow Temple
wKeyring!","¡Encontraste un Llavero del
Templo de la Sombra!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_KEY_RING,"You found a pBottom of the
Well wKeyring!","¡Encontraste un Llavero del
Fondo del Pozo!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GERUDO_TRAINING_GROUND_KEY_RING,"You found a yGerudo Training
Ground wKeyring!","¡Encontraste un Llavero del
Terreno de Entrenamiento Gerudo!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GANONS_CASTLE_KEY_RING,"You found a rGanon's Castle
wKeyring!","¡Encontraste un Llavero del
Castillo de Ganon!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_TREASURE_GAME_KEY_RING,"You found a rTreasure Chest Game
wKeyring!","¡Encontraste un Llavero del
Juego del Cofre del Tesoro!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FOREST_TEMPLE_BOSS_KEY,"You found the gForest Temple
wBoss Key!","¡Encontraste la Llave Jefe del
Templo del Bosque!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FIRE_TEMPLE_BOSS_KEY,"You found the rFire Temple
wBoss Key!","¡Encontraste la Llave Jefe del
Templo del Fuego!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_WATER_TEMPLE_BOSS_KEY,"You found the bWater Temple
wBoss Key!","¡Encontraste la Llave Jefe del
Templo del Agua!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_BOSS_KEY,"You found the ySpirit Temple
wBoss Key!","¡Encontraste la Llave Jefe del
Templo del Espíritu!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_BOSS_KEY,"You found the pShadow Temple
wBoss Key!","¡Encontraste la Llave Jefe del
Templo de la Sombra!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_GANONS_CASTLE_BOSS_KEY,"You found the rGanon's Castle
wBoss Key!","¡Encontraste la Llave Jefe del
Castillo de Ganon!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_DEKU_TREE_MAP,"You found the gDeku Tree
wMap![typeHint]","¡Encontraste el Mapa del
Árbol Deku![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_DODONGOS_CAVERN_MAP,"You found the rDodongo's Cavern
wMap![typeHint]","¡Encontraste el Mapa de la
Cueva de Dodongo![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_JABU_JABUS_BELLY_MAP,"You found the bJabu Jabu's Belly
wMap![typeHint]","¡Encontraste el Mapa de la
Barriga de Jabu Jabu![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FOREST_TEMPLE_MAP,"You found the gForest Temple
wMap![typeHint]","¡Encontraste el Mapa del
Templo del Bosque![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_FIRE_TEMPLE_MAP,"You found the rFire Temple
wMap![typeHint]","¡Encontraste el Mapa del
Templo del Fuego![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_WATER_TEMPLE_MAP,"You found the bWater Temple
wMap![typeHint]","¡Encontraste el Mapa del
Templo del Agua![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_MAP,"You found the ySpirit Temple
wMap![typeHint]","¡Encontraste el Mapa del
Templo del Espíritu![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_MAP,"You found the pShadow Temple
wMap![typeHint]","¡Encontraste el Mapa del
Templo de la Sombra![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_MAP,"You found the pBottom of the
Well wMap![typeHint]","¡Encontraste el Mapa del
Fondo del Pozo![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_ICE_CAVERN_MAP,"You found the cIce Cavern
wMap![typeHint]","¡Encontraste el Mapa de la
Cueva de Hielo![typeHint]",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_DEKU_TREE_COMPASS,"You found the gDeku Tree
wCompass!","¡Encontraste la Brújula del
Árbol Deku!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
Rando::GIMESSAGE::RG_DODONGOS_CAVERN_COMPASS,"You found the rDodongo's Cavern
wCompass!","¡Encontraste la Brújula de la
Cueva de Dodongo!",NPC_DIALOGUE,HIGH_RISK,soh/soh/Enhancements/randomizer/randomizer.cpp,Hint / Shop / Item gameplay text,LOW,MEDIUM,LOW,ACCEPT,,HIGH,
